Country,Total_Arrival
Australia,5879520
New Zealand,1093610
Papua New Guinea,23100
Solomon Is.,6440
Vanuatu,6910
Kiribati,1580
Marshall Is.,100
Micronesia,110
Nauru,3520
Palau,120
Fiji,36720
Samoa,4740
Tonga,9440
Tuvalu,670
United Kingdom,447900
Ireland,73970
Austria,10320
Belgium,11570
France,108520
Germany,107510
Luxembourg,600
Netherlands,40750
Switzerland,19520
Denmark,15680
Finland,6720
Iceland,520
Norway,11870
Sweden,16630
Italy,50230
Malta,1170
Portugal,8610
Spain,27430
Albania,380
Bosnia and Herz.,490
Bulgaria,1480
Croatia,2190
Cyprus,860
North Macedonia,1070
Greece,3700
Moldova,120
Romania,3340
Slovenia,1290
Montenegro,160
Serbia,1560
Kosovo,140
Belarus,470
Czechia,6170
Estonia,2970
Hungary,4150
Latvia,1070
Lithuania,2440
Poland,13230
Russia,9660
Slovakia,2810
Ukraine,3400
Algeria,280
Egypt,4630
Morocco,620
Sudan,620
Tunisia,240
South Sudan,180
Bahrain,220
Iran,15430
Iraq,3840
Israel,6310
Jordan,1900
Kuwait,1570
Lebanon,4760
Oman,740
Qatar,380
Saudi Arabia,8670
Syria,2570
Turkey,7290
United Arab Emirates,3040
Yemen,280
Myanmar,5240
Cambodia,16060
Laos,2590
Thailand,68760
Vietnam,148850
Brunei,3120
Indonesia,171910
Malaysia,187930
Philippines,156730
Singapore,191560
Timor-Leste,4720
China,843860
Hong Kong,123920
Macao,2850
Mongolia,8720
Taiwan,116600
Japan,229860
South Korea,249700
Bangladesh,28470
Bhutan,8200
India,476810
Maldives,890
Nepal,61890
Pakistan,39920
Sri Lanka,54370
Afghanistan,11190
Armenia,230
Azerbaijan,260
Georgia,230
Kazakhstan,1340
Kyrgyzstan,210
Tajikistan,80
Uzbekistan,770
Canada,106350
United States of America,419170
Argentina,14180
Bolivia,280
Brazil,39460
Chile,18610
Colombia,24940
Ecuador,2160
Paraguay,280
Peru,4970
Uruguay,1480
Venezuela,1070
Costa Rica,490
El Salvador,240
Guatemala,330
Honduras,180
Mexico,9790
Nicaragua,90
Panama,320
Bahamas,100
Barbados,100
Cuba,100
Dominica,120
Dominican Rep.,170
Jamaica,290
St. Kitts and Nevis,120
Trinidad and Tobago,270
Cameroon,100
Congo,100
Dem. Rep. Congo,1440
Ghana,1490
Liberia,110
Nigeria,4070
Sierra Leone,150
Botswana,570
Burundi,180
Eritrea,390
Ethiopia,1380
Kenya,6760
Madagascar,110
Malawi,220
Mauritius,5620
Mozambique,150
Namibia,300
Rwanda,180
Seychelles,180
Somalia,320
South Africa,37990
Tanzania,470
Uganda,790
Zambia,1000
Zimbabwe,5680
