Month,Type_of_Visa,Visitors_Arrivals,Visitors_Departure
January,Subclass 444 Visa,170830,160630
January,Family Visa,32460,20690
January,Skilled Visa,97490,47430
January,Student Visa,82890,56500
January,Visitor Visa,370220,561360
January,Work Visa,29780,20970
January,Other Visa,163020,98220
January,Unknown Visa,1230,6750
February,Subclass 444 Visa,142620,134900
February,Family Visa,23800,18960
February,Skilled Visa,60840,43650
February,Student Visa,175950,33580
February,Visitor Visa,570160,545670
February,Work Visa,29290,23510
February,Other Visa,114720,91530
February,Unknown Visa,1130,4820
March,Subclass 444 Visa,153750,147200
March,Family Visa,22060,22850
March,Skilled Visa,53230,54000
March,Student Visa,44580,39860
March,Visitor Visa,530900,512170
March,Work Visa,28610,25360
March,Other Visa,102790,113700
March,Unknown Visa,2080,6240
April,Subclass 444 Visa,159250,155940
April,Family Visa,22370,21040
April,Skilled Visa,61920,47800
April,Student Visa,45950,36210
April,Visitor Visa,372640,440940
April,Work Visa,23760,25450
April,Other Visa,113130,103480
April,Unknown Visa,1910,5990
May,Subclass 444 Visa,146140,140730
May,Family Visa,20020,20210
May,Skilled Visa,49570,44500
May,Student Visa,38010,42170
May,Visitor Visa,363700,373460
May,Work Visa,24450,28490
May,Other Visa,95960,97190
May,Unknown Visa,2320,6030
June,Subclass 444 Visa,141260,140150
June,Family Visa,21110,20710
June,Skilled Visa,50360,54260
June,Student Visa,39230,104960
June,Visitor Visa,393690,351440
June,Work Visa,23240,24770
June,Other Visa,91440,104820
June,Unknown Visa,2410,7710
July,Subclass 444 Visa,162890,159220
July,Family Visa,20490,20340
July,Skilled Visa,60500,48500
July,Student Visa,132970,43930
July,Visitor Visa,398100,381570
July,Work Visa,20030,25800
July,Other Visa,101320,96560
July,Unknown Visa,2630,7580
