State,Year,Number of Visitors
New South Wales,2019,3480530
New South Wales,2020,391870
New South Wales,2021,134760
New South Wales,2022,1443590
New South Wales,2023,2842140
New South Wales,2024,1527180
Victoria,2019,2522390
Victoria,2020,287410
Victoria,2021,75160
Victoria,2022,1062230
Victoria,2023,1901710
Victoria,2024,1059560
Queensland,2019,2038950
Queensland,2020,203030
Queensland,2021,51520
Queensland,2022,843800
Queensland,2023,1497060
Queensland,2024,846970
South Australia,2019,278080
South Australia,2020,34940
South Australia,2021,8590
South Australia,2022,140500
South Australia,2023,226990
South Australia,2024,111840
Western Australia,2019,898480
Western Australia,2020,115460
Western Australia,2021,15550
Western Australia,2022,421210
Western Australia,2023,694830
Western Australia,2024,399740
Tasmania,2019,96970
Tasmania,2020,14520
Tasmania,2021,4480
Tasmania,2022,47050
Tasmania,2023,73120
Tasmania,2024,36660
Northern Territory,2019,77460
Northern Territory,2020,6980
Northern Territory,2021,3710
Northern Territory,2022,29840
Northern Territory,2023,46270
Northern Territory,2024,27480
Australian Capital Territory,2019,108180
Australian Capital Territory,2020,14760
Australian Capital Territory,2021,5190
Australian Capital Territory,2022,57490
Australian Capital Territory,2023,95980
Australian Capital Territory,2024,49740
