yearMonth,Purpose,Number_of_Visitors
2000-01-01,Convention/conference,6500
2000-01-01,Business,29620
2000-01-01,Visiting friends/relatives,66130
2000-01-01,Holiday,195370
2000-01-01,Employment,4720
2000-01-01,Education,22870
2000-01-01,Others,35590
2000-02-01,Convention/conference,8430
2000-02-01,Business,41700
2000-02-01,Visiting friends/relatives,74280
2000-02-01,Holiday,241430
2000-02-01,Employment,3530
2000-02-01,Education,33240
2000-02-01,Others,31990
2000-03-01,Convention/conference,10390
2000-03-01,Business,45380
2000-03-01,Visiting friends/relatives,76300
2000-03-01,Holiday,235190
2000-03-01,Employment,3750
2000-03-01,Education,9140
2000-03-01,Others,31700
2000-04-01,Convention/conference,11100
2000-04-01,Business,38330
2000-04-01,Visiting friends/relatives,87740
2000-04-01,Holiday,221680
2000-04-01,Employment,3900
2000-04-01,Education,9840
2000-04-01,Others,33030
2000-05-01,Convention/conference,11590
2000-05-01,Business,44660
2000-05-01,Visiting friends/relatives,57480
2000-05-01,Holiday,166130
2000-05-01,Employment,3490
2000-05-01,Education,9100
2000-05-01,Others,26910
2000-06-01,Convention/conference,9760
2000-06-01,Business,39780
2000-06-01,Visiting friends/relatives,69630
2000-06-01,Holiday,184170
2000-06-01,Employment,3240
2000-06-01,Education,11530
2000-06-01,Others,29830
2000-07-01,Convention/conference,12930
2000-07-01,Business,42970
2000-07-01,Visiting friends/relatives,76530
2000-07-01,Holiday,214190
2000-07-01,Employment,4530
2000-07-01,Education,34570
2000-07-01,Others,43300
2000-08-01,Convention/conference,8750
2000-08-01,Business,39910
2000-08-01,Visiting friends/relatives,70280
2000-08-01,Holiday,205540
2000-08-01,Employment,5170
2000-08-01,Education,8280
2000-08-01,Others,34930
2000-09-01,Convention/conference,12810
2000-09-01,Business,41510
2000-09-01,Visiting friends/relatives,61460
2000-09-01,Holiday,204850
2000-09-01,Employment,6420
2000-09-01,Education,11530
2000-09-01,Others,64380
2000-10-01,Convention/conference,17380
2000-10-01,Business,45800
2000-10-01,Visiting friends/relatives,83230
2000-10-01,Holiday,221080
2000-10-01,Employment,4190
2000-10-01,Education,14650
2000-10-01,Others,40180
2000-11-01,Convention/conference,17460
2000-11-01,Business,46620
2000-11-01,Visiting friends/relatives,92200
2000-11-01,Holiday,255250
2000-11-01,Employment,4120
2000-11-01,Education,7770
2000-11-01,Others,36500
2000-12-01,Convention/conference,8950
2000-12-01,Business,28220
2000-12-01,Visiting friends/relatives,162660
2000-12-01,Holiday,312220
2000-12-01,Employment,3320
2000-12-01,Education,7760
2000-12-01,Others,36810
2001-01-01,Convention/conference,6090
2001-01-01,Business,31650
2001-01-01,Visiting friends/relatives,81190
2001-01-01,Holiday,226670
2001-01-01,Employment,5540
2001-01-01,Education,26570
2001-01-01,Others,38900
2001-02-01,Convention/conference,9060
2001-02-01,Business,43240
2001-02-01,Visiting friends/relatives,80470
2001-02-01,Holiday,218260
2001-02-01,Employment,4600
2001-02-01,Education,39980
2001-02-01,Others,33590
2001-03-01,Convention/conference,13460
2001-03-01,Business,42100
2001-03-01,Visiting friends/relatives,90260
2001-03-01,Holiday,233250
2001-03-01,Employment,3890
2001-03-01,Education,13460
2001-03-01,Others,32340
2001-04-01,Convention/conference,12230
2001-04-01,Business,35970
2001-04-01,Visiting friends/relatives,90930
2001-04-01,Holiday,217510
2001-04-01,Employment,3490
2001-04-01,Education,13620
2001-04-01,Others,31620
2001-05-01,Convention/conference,13110
2001-05-01,Business,38820
2001-05-01,Visiting friends/relatives,61450
2001-05-01,Holiday,176540
2001-05-01,Employment,3240
2001-05-01,Education,7700
2001-05-01,Others,29310
2001-06-01,Convention/conference,8800
2001-06-01,Business,33280
2001-06-01,Visiting friends/relatives,69910
2001-06-01,Holiday,207230
2001-06-01,Employment,3190
2001-06-01,Education,15760
2001-06-01,Others,31840
2001-07-01,Convention/conference,14740
2001-07-01,Business,37060
2001-07-01,Visiting friends/relatives,70290
2001-07-01,Holiday,212160
2001-07-01,Employment,4900
2001-07-01,Education,42220
2001-07-01,Others,65510
2001-08-01,Convention/conference,8300
2001-08-01,Business,38810
2001-08-01,Visiting friends/relatives,59800
2001-08-01,Holiday,194860
2001-08-01,Employment,4690
2001-08-01,Education,11730
2001-08-01,Others,66400
2001-09-01,Convention/conference,16840
2001-09-01,Business,30620
